Name,Price,Rating,URL
MSI GF63 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050/144 Hz) Thin GF63 12VE-070IN Gaming Laptop,Rs.79990,4.4,https://www.flipkart.com/msi-gf63-intel-core-i7-12th-gen-12650h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-144-hz-thin-12ve-070in-gaming-laptop/p/itm7346c57244c67?pid=COMGMGSJZQGQXKGZ&lid=LSTCOMGMGSJZQGQXKGZ0MPXHR&marketplace=FLIPKART&store=6bo&srno=b_1_31&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ0hVjQl1neP4_TKaaTDq49KxdFCj0-p1285RQ02Co_HKlhWlg14bXFG9tZ2S67Bqg0%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060/144 Hz) Thin GF63 12VF-268IN Gaming Laptop,Rs.76990,4.3,https://www.flipkart.com/msi-gf63-intel-core-i5-12th-gen-12450h-16-gb-1-tb-hdd-256-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-4060-144-hz-thin-12vf-268in-gaming-laptop/p/itm94409e5003359?pid=COMGZ5F34DHNDHHF&lid=LSTCOMGZ5F34DHNDHHFLMWZXW&marketplace=FLIPKART&store=6bo&srno=b_1_32&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ3ed6K7E4wm4vWSZVczwsDriIozDwIcSOlFOcOgwORFvZ2-SIbIDZ6lLvgRS75Tj4w%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
Epson 003 65 ml for L3200/L3250/L3251/L3210/L3252/L3211/L3100/L3110 Black Ink Bottle,Rs.384,4.3,https://www.flipkart.com/epson-003-65-ml-l3200-l3250-l3251-l3210-l3252-l3211-l3100-l3110-black-ink-bottle/p/itma28075123e9e9?pid=INKFFFG3PYRPH7XS&lid=LSTINKFFFG3PYRPH7XSZNBHKO&marketplace=FLIPKART&store=6bo&srno=b_1_33&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.INKFFFG3PYRPH7XS.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
DELL MS 116-BK Wired Optical Mouse,Rs.269,4.4,https://www.flipkart.com/dell-ms-116-bk-wired-optical-mouse/p/itmd5b52898f0dc4?pid=ACCEKM2GZAGFW2TM&lid=LSTACCEKM2GZAGFW2TMLZ5J5H&marketplace=FLIPKART&store=6bo&srno=b_1_34&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCEKM2GZAGFW2TM.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
SCOTLON Speed racer neon car_Premium Laptop Skin Vinyl Laptop Decal 15.6,Rs.249,,https://www.flipkart.com/scotlon-speed-racer-neon-car-premium-laptop-skin-vinyl-decal-15-6/p/itm5db2109c22783?pid=LSDGSHH3HJCFQEG3&lid=LSTLSDGSHH3HJCFQEG3ADN5FQ&marketplace=FLIPKART&store=6bo&srno=b_1_35&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.LSDGSHH3HJCFQEG3.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
amenity Silicone Heatsink Compounds Cooling Processor CPU Graphics Carbon Based Thermal Paste (10 g 1.93 W/mK) Carbon Based Thermal Paste,Rs.98,4,https://www.flipkart.com/amenity-silicone-heatsink-compounds-cooling-processor-cpu-graphics-carbon-based-thermal-paste-10-g-1-93-w-mk/p/itmd8b8b2e668ab6?pid=TRPFT4F5UZKGB9CH&lid=LSTTRPFT4F5UZKGB9CHWUJQA9&marketplace=FLIPKART&store=6bo&srno=b_1_36&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.TRPFT4F5UZKGB9CH.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
SAMSUNG T7 Shield 2TB USB 3.2 Gen 2(10 Gbps)IP65 RatedSpeed upto 1050 MB/s(MU-PE2T0K) 2 TB External Solid State Drive (SSD),Rs.16099,4.5,https://www.flipkart.com/samsung-t7-shield-2tb-usb-3-2-gen-2-10-gbps-ip65-rated-speed-upto-1050-mb-s-mu-pe2t0k-2-tb-external-solid-state-drive-ssd/p/itm1877598da7553?pid=ACCGDTJ2EVWSMBAK&lid=LSTACCGDTJ2EVWSMBAK3S6IDW&marketplace=FLIPKART&store=6bo&srno=b_1_37&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ3vK4HGPg6K493F5nkAZT0RnH5qmGcuTtWPPpdVku51ub3nN5BP0oUQf7sdSRT1im4%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz) Thin GF63 12UCX-265IN Gaming Laptop,Rs.59990,4.2,https://www.flipkart.com/msi-gf63-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-thin-12ucx-265in-gaming-laptop/p/itm7fd2f66eb1ba0?pid=COMGZ4PNVKKPW59C&lid=LSTCOMGZ4PNVKKPW59C76EKKX&marketplace=FLIPKART&store=6bo&srno=b_1_38&otracker=product_breadCrumbs_Computers&fm=organic&iid=en_I2IoGkGzC8fo0w9Dvzo2K-xzK8nepK1hI4k85yf-UJ3SYA5ggszqu2041y6J-ykEflWxDu7kFiYXGOger-GHJQAlvNo-tguW1XjLLiPm_o8%3D&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
HP x1000 Wired Optical Mouse,Rs.279,4.3,https://www.flipkart.com/hp-x1000-wired-optical-mouse/p/itmf2hrgfb8qwyhk?pid=ACCDBFEVHVDG2DMJ&lid=LSTACCDBFEVHVDG2DMJRLFGYN&marketplace=FLIPKART&store=6bo&srno=b_1_39&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.ACCDBFEVHVDG2DMJ.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
McAfee 1 PC 3 Years Anti-virus (Email Delivery - No CD),Rs.660,4.3,https://www.flipkart.com/mcafee-1-pc-3-years-anti-virus-email-delivery-no-cd/p/itm0129c5e011c98?pid=DSFFR6YNTWDHV23Y&lid=LSTDSFFR6YNTWDHV23YBJERZJ&marketplace=FLIPKART&store=6bo&srno=b_1_40&otracker=product_breadCrumbs_Computers&fm=organic&iid=812efa26-150d-4b4a-b244-820ca9201ff2.DSFFR6YNTWDHV23Y.SEARCH&ppt=None&ppn=None&ssid=qymrj13obk0000001708148027613
